timestamp,packet_length,payload_sum,payload_len,source_ip,dest_ip,Anomaly
Fri Feb 21 16:22:28 2025,97.0,5272.0,97.0,67240450,2887125345,False
Fri Feb 21 16:22:29 2025,98.0,5662.0,98.0,2398795470,2887125345,False
Fri Feb 21 16:22:29 2025,138.0,7781.0,138.0,67240450,2887125345,False
Fri Feb 21 16:22:29 2025,98.0,5662.0,98.0,2398795470,2887125345,False
Fri Feb 21 16:22:30 2025,98.0,5662.0,98.0,2398795470,2887125345,False
Fri Feb 21 16:22:31 2025,98.0,5662.0,98.0,2398795470,2887125345,False
Fri Feb 21 16:22:32 2025,98.0,5662.0,98.0,2398795470,2887125345,False
Thu Mar 13 00:08:45 2025,0.0,0.0,0.0,2887125104,2890090850,False
Thu Mar 13 00:08:45 2025,0.0,0.0,0.0,2890090850,2887125104,False
Thu Mar 13 00:08:45 2025,0.0,0.0,0.0,2890090850,2887125104,False
Thu Mar 13 00:08:45 2025,0.0,0.0,0.0,2887125104,2890090850,False
Thu Mar 13 00:08:45 2025,0.0,0.0,0.0,2890090850,2887125104,False
Thu Mar 13 00:08:47 2025,0.0,0.0,0.0,2887125104,825030308,False
Thu Mar 13 00:08:50 2025,0.0,0.0,0.0,2887125104,399834658,False
Thu Mar 13 00:08:50 2025,0.0,0.0,0.0,2887125104,34751017,False
Thu Mar 13 00:08:50 2025,0.0,0.0,0.0,2887125104,34751017,False
Thu Mar 13 00:08:50 2025,0.0,0.0,0.0,2887125104,34751017,False
Thu Mar 13 00:08:50 2025,0.0,0.0,0.0,2887125104,134744072,False
Thu Mar 13 00:08:50 2025,0.0,0.0,0.0,34751017,2887125104,False
Thu Mar 13 00:08:50 2025,0.0,0.0,0.0,2887125104,34751017,False
Thu Mar 13 00:08:50 2025,0.0,0.0,0.0,2887125104,34751017,False
Thu Mar 13 00:08:50 2025,0.0,0.0,0.0,34751017,2887125104,False
Thu Mar 13 00:08:50 2025,0.0,0.0,0.0,2887125104,67240450,False
Thu Mar 13 00:08:50 2025,0.0,0.0,0.0,134744072,2887125104,False
Thu Mar 13 00:08:50 2025,0.0,0.0,0.0,2887125104,879590413,False
Thu Mar 13 00:08:50 2025,0.0,0.0,0.0,879590413,2887125104,False
Thu Mar 13 00:08:50 2025,0.0,0.0,0.0,2887125104,879590413,False
Thu Mar 13 00:08:50 2025,0.0,0.0,0.0,2887125104,879590413,False
Thu Mar 13 00:08:50 2025,0.0,0.0,0.0,879590413,2887125104,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,134744072,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,67240450,2887125104,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,399834658,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,34751017,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,34751017,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,67240450,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,34751017,2887125104,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,34751017,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,34751017,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,34751017,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,34751017,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,34751017,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,34751017,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,34751017,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,34751017,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,879590413,2887125104,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,879590413,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,879590413,2887125104,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,879590413,2887125104,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,879590413,2887125104,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,879590413,2887125104,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,34751017,2887125104,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,879590413,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,879590413,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,879590413,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,879590413,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,879590413,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,34751017,2887125104,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,34751017,2887125104,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,34751017,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,34751017,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,879590413,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,879590413,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,34751017,2887125104,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,34751017,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,34751017,2887125104,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,879590413,2887125104,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,879590413,2887125104,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,34751017,2887125104,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,879590413,2887125104,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,879590413,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,879590413,2887125104,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,879590413,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,879590413,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,879590413,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,879590413,2887125104,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,879590413,2887125104,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,134744072,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,34751017,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,34751017,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,34751017,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,34751017,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,34751017,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,34751017,2887125104,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,34751017,2887125104,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,34751017,2887125104,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,34751017,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,34751017,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,34751017,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,34751017,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,879590413,2887125104,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,67240450,2887125104,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,134744072,2887125104,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,879590413,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,677579074,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,679354114,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,34751017,2887125104,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,34751017,2887125104,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,34751017,2887125104,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,34751017,2887125104,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,677579074,2887125104,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,677579074,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,679354114,2887125104,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,679354114,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,677579074,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,679354114,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,677579074,2887125104,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,679354114,2887125104,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,34751017,2887125104,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,34751017,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,34751017,2887125104,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,34751017,False
Thu Mar 13 00:08:51 2025,0.0,0.0,0.0,2887125104,34751017,False
