timestamp,src_mac,dst_mac,src_ip,src_port,dst_ip,dst_port,payload_sum,payload_len
Thu Mar 20 23:55:30 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54129.0,140.82.112.25,443.0,5902.0,60.0
Thu Mar 20 23:55:30 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54129.0,140.82.112.25,443.0,5902.0,60.0
Thu Mar 20 23:55:30 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,61044.0,192.168.135.90,53.0,6153.0,76.0
Thu Mar 20 23:55:30 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,49906.0,192.168.135.90,53.0,6153.0,76.0
Thu Mar 20 23:55:30 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,192.168.135.90,53.0,192.168.135.162,49906.0,12189.0,160.0
Thu Mar 20 23:55:30 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,192.168.135.90,53.0,192.168.135.162,61044.0,8413.0,111.0
Thu Mar 20 23:55:30 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54178.0,140.82.112.26,443.0,0.0,0.0
Thu Mar 20 23:55:31 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,140.82.112.25,443.0,192.168.135.162,54129.0,5137.0,60.0
Thu Mar 20 23:55:31 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,140.82.112.26,443.0,192.168.135.162,54178.0,0.0,0.0
Thu Mar 20 23:55:31 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54178.0,140.82.112.26,443.0,5391.0,60.0
Thu Mar 20 23:55:31 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54178.0,140.82.112.26,443.0,150206.0,1354.0
Thu Mar 20 23:55:31 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54178.0,140.82.112.26,443.0,65811.0,579.0
