timestamp,src_mac,dst_mac,src_ip,src_port,dst_ip,dst_port,payload_sum,payload_len,Anomaly,Anomaly_Score
Thu Mar 20 23:55:29 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.18.26.48,443.0,192.168.135.162,54177.0,4790.0,60.0,False,0.004677986923114665
Thu Mar 20 23:55:29 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,140.82.112.25,443.0,192.168.135.162,54129.0,5137.0,60.0,False,0.003921572651875332
Thu Mar 20 23:55:30 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,140.82.112.25,443.0,192.168.135.162,54129.0,7663.0,78.0,False,0.005627324341098979
Thu Mar 20 23:55:30 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,140.82.112.25,443.0,192.168.135.162,54129.0,5137.0,60.0,False,0.003921572651875332
Thu Mar 20 23:55:30 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54129.0,140.82.112.25,443.0,5902.0,60.0,False,0.0036425215987215646
Thu Mar 20 23:55:30 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54129.0,140.82.112.25,443.0,5902.0,60.0,False,0.0036425215987215646
Thu Mar 20 23:55:30 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,61044.0,192.168.135.90,53.0,6153.0,76.0,False,0.008540843394174968
Thu Mar 20 23:55:30 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,49906.0,192.168.135.90,53.0,6153.0,76.0,False,0.005797143784000013
Thu Mar 20 23:55:30 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,192.168.135.90,53.0,192.168.135.162,49906.0,12189.0,160.0,False,0.0037225205188348917
Thu Mar 20 23:55:30 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,192.168.135.90,53.0,192.168.135.162,61044.0,8413.0,111.0,False,0.0040419682185387764
Thu Mar 20 23:55:30 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54178.0,140.82.112.26,443.0,0.0,0.0,False,0.010595692474948168
